SERIES_1_3	 "Imoncont"	  ""	 07-Jan-2019	 17:17:48.796
EPC10/2-1	 V-Clamp	 -60.000m	  10.000m	  7.3014k	  6.6448p	  8.1015p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[A]	    Min[A]	     a2-b3	  Constant	     a5/b4
200	62356,000000000000000	-130,560000000000002	-613,340000000000032	0,000000000482790	10,000000000000000	20,713000000000001
201	62356,000000000000000	-132,009999999999991	-627,309999999999945	0,000000000495300	10,000000000000000	20,190000000000001
202	62357,000000000000000	-131,919999999999987	-614,750000000000000	0,000000000482830	10,000000000000000	20,710999999999999
203	62357,000000000000000	-132,129999999999995	-623,220000000000027	0,000000000491090	10,000000000000000	20,363000000000000
204	62358,000000000000000	-126,959999999999994	-603,250000000000000	0,000000000476290	10,000000000000000	20,995999999999999
205	62358,000000000000000	-128,979999999999990	-606,870000000000005	0,000000000477900	10,000000000000000	20,925000000000001
206	62358,000000000000000	-133,300000000000011	-637,409999999999968	0,000000000504100	10,000000000000000	19,837000000000000
207	62359,000000000000000	-142,900000000000006	-635,690000000000055	0,000000000492780	10,000000000000000	20,292999999999999
208	62359,000000000000000	-132,110000000000014	-625,409999999999968	0,000000000493300	10,000000000000000	20,271999999999998
209	62360,000000000000000	-129,860000000000014	-607,090000000000032	0,000000000477230	10,000000000000000	20,954000000000001
210	62360,000000000000000	-127,519999999999996	-606,559999999999945	0,000000000479040	10,000000000000000	20,875000000000000
211	62361,000000000000000	-129,139999999999986	-614,629999999999995	0,000000000485490	10,000000000000000	20,597999999999999
212	62361,000000000000000	-129,469999999999999	-604,309999999999945	0,000000000474840	10,000000000000000	21,059999999999999
213	62362,000000000000000	-135,520000000000010	-606,940000000000055	0,000000000471420	10,000000000000000	21,213000000000001
214	62362,000000000000000	-135,020000000000010	-638,470000000000027	0,000000000503450	10,000000000000000	19,863000000000000
215	62362,000000000000000	-125,449999999999989	-615,340000000000032	0,000000000489890	10,000000000000000	20,413000000000000
216	62363,000000000000000	-130,620000000000005	-620,309999999999945	0,000000000489700	10,000000000000000	20,420999999999999
217	62363,000000000000000	-130,389999999999986	-609,690000000000055	0,000000000479300	10,000000000000000	20,864000000000001
