
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
      1,    0.00000000,             1,  -60.9035308m,  -14.3857268m
      2,    1.00000000,             2,  -59.7181813m,  -19.3888820m
      3,    2.00000000,             3,  -59.4447126m,  -17.7563443m
      4,    3.00000000,             4,  -58.5788537m,  -22.0533220m
      5,    4.00000000,             5,  -58.1700116m,  -16.4409130m
      6,    5.00000000,             6,  -58.5418996m,  -17.2521288m
      7,    6.00000000,             7,  -58.6600255m,  -16.7350715m
      8,    7.00000000,             8,  -57.9222000m,  -20.8195849m
      9,    8.00000000,             9,  -58.1402959m,  -17.0530348m
     10,    9.00000000,            10,  -57.1046434m,  -17.5196090m
     11,    10.0000000,            11,  -56.7999870m,  -16.3954155m
     12,    11.0000000,            12,  -55.9000531m,  -17.2157439m
     13,    12.0000000,            13,  -55.0568199m,  -13.7963639m
     14,    13.0000000,            14,  -52.7184954m,  -14.9488764m
     15,    14.0000000,            15,  -42.6866061m,  -10.5020708m
     16,    15.0000000,            16,  -52.4987351m,  -13.6331009m
     17,    16.0000000,            17,  -38.1512927m,   9.77430181m
     18,    17.0000000,            18,  -39.0138561m,   18.1130753m
Sweep #,     R_time[s],       Mean[A],        Min[A],         a2-b3,      Constant,         a5/b4
    103,   55.5475449k,  -114.776104p,  -766.781250p,   652.005146p,   10.0000000m,   15.3373023M
    104,   55.5479819k,  -113.594244p,  -759.406260p,   645.812016p,   10.0000000m,   15.4843821M
    105,   55.5484189k,  -117.092352p,  -762.156227p,   645.063875p,   10.0000000m,   15.5023408M
    106,   55.5488559k,  -120.175112p,  -765.843777p,   645.668665p,   10.0000000m,   15.4878199M
    107,   55.5492929k,  -112.976077p,  -757.031271p,   644.055194p,   10.0000000m,   15.5266196M
    108,   55.5497289k,  -114.847192p,  -755.468743p,   640.621552p,   10.0000000m,   15.6098401M
    109,   55.5501653k,  -110.017158p,  -748.093754p,   638.076595p,   10.0000000m,   15.6720997M
    110,   55.5506029k,  -116.790672p,  -759.218743p,   642.428071p,   10.0000000m,   15.5659450M
    111,   55.5510399k,  -119.473572p,  -777.500009p,   658.026437p,   10.0000000m,   15.1969578M
    112,   55.5514919k,  -116.800027p,  -767.531261p,   650.731234p,   10.0000000m,   15.3673275M
    113,   55.5519368k,  -124.379481p,  -753.906271p,   629.526790p,   10.0000000m,   15.8849475M
    114,   55.5523809k,  -121.193582p,  -755.656260p,   634.462677p,   10.0000000m,   15.7613684M
    115,   55.5528179k,  -121.127641p,  -760.406238p,   639.278597p,   10.0000000m,   15.6426322M
    116,   55.5532549k,  -125.533822p,  -763.906272p,   638.372449p,   10.0000000m,   15.6648364M
    117,   55.5536919k,  -121.230387p,  -749.624973p,   628.394586p,   10.0000000m,   15.9135680M
    118,   55.5541283k,  -122.654614p,  -762.843733p,   640.189119p,   10.0000000m,   15.6203842M
    119,   55.5545809k,  -124.585963p,  -759.187491p,   634.601528p,   10.0000000m,   15.7579198M
    120,   55.5550179k,  -125.754822p,  -762.937491p,   637.182669p,   10.0000000m,   15.6940866M
    121,   55.5554699k,  -120.284197p,  -758.156260p,   637.872063p,   10.0000000m,   15.6771249M
    122,   55.5559229k,  -125.371626p,  -759.093732p,   633.722106p,   10.0000000m,   15.7797872M
    123,   55.5563664k,  -122.320372p,  -759.562524p,   637.242152p,   10.0000000m,   15.6926217M
