
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
    142,   52.6410579k,  -102.804577p,  -658.718746p,   555.914169p,   10.0000000m,   17.9883884M
    143,   52.6415093k,  -107.768692p,  -673.562484p,   565.793792p,   10.0000000m,   17.6742837M
    144,   52.6419469k,  -110.886331p,  -669.656275p,   558.769944p,   10.0000000m,   17.8964529M
    145,   52.6423999k,  -105.726656p,  -667.625011p,   561.898355p,   10.0000000m,   17.7968131M
    146,   52.6428518k,  -111.851111p,  -664.749977p,   552.898867p,   10.0000000m,   18.0864903M
    147,   52.6432962k,  -123.031573p,  -670.406231p,   547.374657p,   10.0000000m,   18.2690226M
    148,   52.6437409k,  -114.838076p,  -670.625000p,   555.786924p,   10.0000000m,   17.9925068M
    149,   52.6441779k,  -119.581635p,  -676.718737p,   557.137102p,   10.0000000m,   17.9489034M
    150,   52.6446299k,  -119.414122p,  -678.125001p,   558.710879p,   10.0000000m,   17.8983449M
    151,   52.6450669k,  -114.584736p,  -670.875022p,   556.290286p,   10.0000000m,   17.9762262M
    152,   52.6455192k,  -117.706822p,  -652.281229p,   534.574407p,   10.0000000m,   18.7064698M
    153,   52.6459719k,  -112.269799p,  -674.656275p,   562.386476p,   10.0000000m,   17.7813664M
    154,   52.6464159k,  -110.994343p,  -644.906240p,   533.911897p,   10.0000000m,   18.7296819M
    155,   52.6468609k,  -122.733199p,  -672.750022p,   550.016824p,   10.0000000m,   18.1812620M
    156,   52.6472979k,  -114.764500p,  -667.593758p,   552.829258p,   10.0000000m,   18.0887677M
    157,   52.6477499k,  -107.648838p,  -652.249976p,   544.601138p,   10.0000000m,   18.3620622M
    158,   52.6481869k,  -107.576438p,  -655.156263p,   547.579825p,   10.0000000m,   18.2621776M
    159,   52.6486398k,  -123.360687p,  -672.999989p,   549.639303p,   10.0000000m,   18.1937499M
    160,   52.6490919k,  -117.535476p,  -690.187518p,   572.652043p,   10.0000000m,   17.4626112M
    161,   52.6495365k,  -121.060915p,  -680.593748p,   559.532833p,   10.0000000m,   17.8720522M
    162,   52.6499809k,  -114.120433p,  -666.312505p,   552.192072p,   10.0000000m,   18.1096407M
    163,   52.6504179k,  -113.412844p,  -664.124977p,   550.712133p,   10.0000000m,   18.1583070M
    164,   52.6508709k,  -117.348486p,  -664.281241p,   546.932755p,   10.0000000m,   18.2837834M
