

GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 07-Mar-2019	 15:26:21.967
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.4496p	  9.1968p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
    244	   55.718k	  -89.585p	  -476.94p	   387.35p	   10.000m	   25.816M
    245	   55.718k	  -70.604p	  -459.50p	   388.90p	   10.000m	   25.714M
    246	   55.719k	  -71.935p	  -482.91p	   410.97p	   10.000m	   24.333M
    247	   55.719k	  -81.446p	  -469.87p	   388.43p	   10.000m	   25.745M
    248	   55.719k	  -67.116p	  -1.0240n	   956.88p	   10.000m	   10.451M
    249	   55.720k	  -60.203p	  -465.59p	   405.39p	   10.000m	   24.668M
    250	   55.720k	  -54.786p	  -444.78p	   390.00p	   10.000m	   25.641M
    251	   55.721k	  -59.395p	  -449.31p	   389.92p	   10.000m	   25.646M
    252	   55.721k	  -57.038p	  -456.28p	   399.24p	   10.000m	   25.047M
    253	   55.722k	  -56.702p	  -450.94p	   394.24p	   10.000m	   25.366M
    254	   55.722k	  -57.049p	  -456.56p	   399.51p	   10.000m	   25.030M
    255	   55.722k	  -62.160p	  -457.53p	   395.37p	   10.000m	   25.293M
    256	   55.723k	  -65.196p	  -448.59p	   383.40p	   10.000m	   26.083M
    257	   55.723k	  -54.167p	  -451.31p	   397.15p	   10.000m	   25.180M
    258	   55.724k	  -53.030p	  -455.81p	   402.78p	   10.000m	   24.827M
    259	   55.724k	  -62.033p	  -464.50p	   402.47p	   10.000m	   24.847M
    260	   55.725k	  -54.763p	  -458.44p	   403.67p	   10.000m	   24.772M
    261	   55.725k	  -55.078p	  -459.53p	   404.45p	   10.000m	   24.725M
    262	   55.726k	  -62.923p	  -450.75p	   387.83p	   10.000m	   25.785M
    263	   55.726k	  -54.397p	  -456.94p	   402.54p	   10.000m	   24.842M
    264	   55.726k	  -56.484p	  -454.28p	   397.80p	   10.000m	   25.138M
    265	   55.727k	  -92.713p	  -479.00p	   386.29p	   10.000m	   25.887M
    266	   55.727k	  -60.755p	  -460.06p	   399.31p	   10.000m	   25.043M
    267	   55.728k	  -64.639p	  -438.97p	   374.33p	   10.000m	   26.714M
    268	   55.728k	  -68.661p	  -472.22p	   403.56p	   10.000m	   24.780M
    269	   55.729k	  -61.254p	  -453.97p	   392.72p	   10.000m	   25.464M
    270	   55.729k	  -59.779p	  -463.28p	   403.50p	   10.000m	   24.783M
    271	   55.729k	  -77.110p	  -471.78p	   394.67p	   10.000m	   25.338M
    272	   55.730k	  -83.834p	  -486.25p	   402.42p	   10.000m	   24.850M
    273	   55.730k	  -81.259p	  -474.94p	   393.68p	   10.000m	   25.401M
    274	   55.731k	  -75.138p	  -475.06p	   399.92p	   10.000m	   25.005M
    275	   55.731k	  -62.972p	  -471.16p	   408.18p	   10.000m	   24.499M
    276	   55.732k	  -63.694p	  -456.47p	   392.77p	   10.000m	   25.460M
    277	   55.732k	  -62.778p	  -464.41p	   401.63p	   10.000m	   24.899M
    278	   55.733k	  -66.913p	  -470.91p	   403.99p	   10.000m	   24.753M
    279	   55.733k	  -56.190p	  -464.31p	   408.12p	   10.000m	   24.502M
    280	   55.733k	  -62.257p	  -456.88p	   394.62p	   10.000m	   25.341M
    281	   55.734k	  -63.524p	  -453.47p	   389.94p	   10.000m	   25.645M
    282	   55.734k	  -61.850p	  -468.41p	   406.56p	   10.000m	   24.597M
    283	   55.735k	  -59.780p	  -458.19p	   398.41p	   10.000m	   25.100M
    284	   55.735k	  -63.324p	  -464.69p	   401.36p	   10.000m	   24.915M
    285	   55.736k	  -61.427p	  -456.72p	   395.29p	   10.000m	   25.298M
    286	   55.736k	  -158.61p	  -486.16p	   327.54p	   10.000m	   30.530M
    287	   55.736k	  -66.616p	  -474.22p	   407.60p	   10.000m	   24.534M
    288	   55.737k	  -65.554p	  -496.16p	   430.60p	   10.000m	   23.223M
    289	   55.737k	  -59.908p	  -459.97p	   400.06p	   10.000m	   24.996M
    290	   55.738k	  -67.330p	  -469.56p	   402.23p	   10.000m	   24.861M
    291	   55.738k	  -75.930p	  -483.75p	   407.82p	   10.000m	   24.521M
    292	   55.739k	  -84.084p	  -471.87p	   387.79p	   10.000m	   25.787M
    293	   55.739k	  -77.291p	  -497.78p	   420.49p	   10.000m	   23.782M
    294	   55.740k	  -80.143p	  -479.59p	   399.45p	   10.000m	   25.034M
    295	   55.740k	  -79.090p	  -474.69p	   395.60p	   10.000m	   25.278M
    296	   55.740k	  -79.223p	  -468.69p	   389.46p	   10.000m	   25.676M
    297	   55.741k	  -75.462p	  -478.75p	   403.29p	   10.000m	   24.796M
    298	   55.741k	  -71.946p	  -475.03p	   403.09p	   10.000m	   24.809M
    299	   55.742k	  -100.18p	  -499.69p	   399.51p	   10.000m	   25.031M
    300	   55.742k	  -76.289p	  -471.84p	   395.56p	   10.000m	   25.281M
